,모델명,화면크기,무게,CPU,그래픽,RAM,SSD,최저가,등록년월,평점,댓글개수,브랜드,인기,출시 연도
34,LG전자 다나와인증 울트라PC 15UD50P LT2504003509,15.3,1.81,코어i5-11세대,기타,8,240,549990,2025.04.,,,LG전자,,2025
35,LG전자 2025 그램 프로16 16Z90TP-GD7BK,16.0,1.199,코어 울트라7,내장그래픽,32,512,2102090,2025.01.,4.8,73,LG전자,350.4,2025
36,삼성전자 갤럭시북4 NT750XGR-A71A,15.6,1.55,코어i7-13세대,기타,16,512,999370,2024.03.,4.9,"2,200",삼성전자,,2024
37,"APPLE 맥북에어15 M4 10코어 CPU, 10코어 GPU 실버",15.3,1.51,Intelligence,기타,16,256,1719890,2025.03.,4.5,9,APPLE,40.5,2025
38,LG전자 2025 그램 프로16 16ZD90TR-SX79K,16.0,1.36,코어 울트라7,RTX4050,32,512,2348000,2025.01.,4.9,43,LG전자,210.70000000000002,2025
39,LG전자 2024 그램15 15Z90S-GA5NK,15.6,1.29,코어 울트라5,내장그래픽,16,256,1247160,2024.12.,4.8,43,LG전자,206.4,2024
40,"APPLE 맥북프로16 M1프로 10코어 CPU, 16코어 GPU 그레이",16.2,2.1,M1 Pro,기타,16,512,2699000,2021.10.,4.8,162,APPLE,777.6,2021
41,LG전자 그램16 16Z90S-GA5VK,16.0,1.199,코어 울트라5,내장그래픽,16,256,1346000,2025.03.,,,LG전자,,2025
42,LG전자 울트라PC 15U50T-GR3CK,15.6,1.7,코어i3-13세대,기타,8,256,609000,2024.11.,4.8,51,LG전자,244.79999999999998,2024
43,LG전자 2024 그램17 17Z90S-GA5PK,17.0,1.35,코어 울트라5,내장그래픽,16,512,1546000,2024.05.,4.9,334,LG전자,1636.6000000000001,2024
44,LG전자 2025 그램 프로17 17Z90TP-GA5CK,17.0,1.369,코어 울트라5,내장그래픽,16,256,1579250,2025.01.,4.9,31,LG전자,151.9,2025
45,LG전자 2024 그램16 16Z90SU-GRF6K,16.0,1.12,코어 울트라5,내장그래픽,8,256,1268580,2025.02.,5.0,40,LG전자,200.0,2025
46,삼성전자 갤럭시북4 울트라 NT960XGL-X94A,16.0,1.86,코어 울트라9,RTX4070,64,2048,4452620,2024.02.,4.8,101,삼성전자,484.79999999999995,2024
47,삼성전자 갤럭시북5 프로 NT960XHA-K71A,16.0,1.56,코어 울트라7,내장그래픽,16,512,2087400,2025.01.,4.9,154,삼성전자,754.6,2025
48,LG전자 2023 울트라PC 15UD50R-GX56K WIN11 16GB램,15.6,1.8,코어i5-13세대,기타,16,256,664470,2023.06.,4.9,42,LG전자,205.8,2023
49,LG전자 2024 그램16 16Z90S-GA5HK,16.0,1.199,코어 울트라5,내장그래픽,16,512,1424000,2024.03.,4.5,12,LG전자,54.0,2024
50,LG전자 2025 그램 프로17 17ZD90TP-GX56K WIN11,17.0,1.369,코어 울트라5,내장그래픽,16,256,1678230,2025.01.,,,LG전자,,2025
51,LG전자 2025 그램 프로16 16ZD90TP-GX56K,16.0,1.199,코어 울트라5,내장그래픽,16,256,1534250,2025.01.,4.9,91,LG전자,445.90000000000003,2025
52,LG전자 2025 그램 프로16 16Z90TR-SD7HK,16.0,1.36,코어 울트라7,RTX4050,32,1024,2578990,2025.02.,4.9,34,LG전자,166.60000000000002,2025
53,삼성전자 갤럭시북5 NT750XHD-KC51S,15.6,1.55,코어 울트라5,기타,16,512,1374750,2025.07.,5.0,2,삼성전자,10.0,2025
54,"APPLE 맥북에어13 M4 10코어 CPU, 10코어 GPU 스카이",13.6,1.24,Intelligence,기타,16,512,1719890,2025.03.,4.9,11,APPLE,53.900000000000006,2025
55,삼성전자 갤럭시북4 울트라 NT960XGL U9,16.0,1.86,코어 울트라9,RTX4070,64,256,4064090,2024.05.,5.0,1,삼성전자,5.0,2024
56,삼성전자 갤럭시북5 프로360 NT960QHA-KT72G,16.0,1.69,코어 울트라7,내장그래픽,32,512,2729990,2025.05.,5.0,1,삼성전자,5.0,2025
57,LG전자 2025 그램 프로17 17ZD90TR-SXSBK,17.0,1.48,코어 울트라7,RTX4050,32,512,2521580,2025.09.,5.0,2,LG전자,10.0,2025
58,삼성전자 갤럭시북5 프로360 NT960QHA-KC71G,16.0,1.69,코어 울트라7,내장그래픽,16,512,2238990,2024.11.,5.0,5,삼성전자,25.0,2024
59,삼성전자 갤럭시북5 프로 NT940XHA-KD72G,14.0,1.23,코어 울트라7,내장그래픽,32,1024,2347460,2025.01.,5.0,1,삼성전자,5.0,2025
60,LG전자 울트라PC 15UD50T-GX5JK WIN11 16GB램,15.6,1.7,코어i5-13세대,기타,16,256,687740,2024.12.,4.9,25,LG전자,122.50000000000001,2024
61,삼성전자 갤럭시북5 프로360 NT960QHA-KA72S,16.0,1.69,코어 울트라7,내장그래픽,32,1024,3093910,2024.11.,,,삼성전자,,2024
62,LG전자 2023 그램16 16ZD90R-EX59K WIN11,16.0,1.299,코어i5-13세대,RTX3050,32,256,2249000,2023.02.,5.0,3,LG전자,15.0,2023
63,"APPLE 맥북프로14 M5 10코어 CPU, 10코어 GPU 블랙",14.2,1.55,Intelligence,기타,16,512,2318300,2025.11.,,,APPLE,,2025
64,삼성전자 갤럭시북5 프로 NT960XHA-K71AR,16.0,1.56,코어 울트라7,내장그래픽,32,1024,2532590,2025.01.,4.9,436,삼성전자,2136.4,2025
65,LG전자 2025 그램 프로16 16Z90TR-SD79K,16.0,1.36,코어 울트라7,RTX4050,32,512,2498050,2025.01.,,,LG전자,,2025
66,LG전자 2025 그램 프로360 16T90TP-GD79K,16.0,1.399,코어 울트라7,내장그래픽,32,512,2287750,2025.01.,4.9,81,LG전자,396.90000000000003,2025
